event_id,circular_ids,n_circulars,luminosity_distance_mpc,luminosity_distance_lower_mpc,luminosity_distance_upper_mpc,far_value,far_unit,snr,snr_source,p_bbh,p_bns,p_nsbh,p_terrestrial,source_class,reference_chirp_mass,reference_chirp_mass_low,reference_chirp_mass_high,reference_mass_frame,data_quality_flags
S230606d,"[33953, 33923, 33922]",3,2545.0,1671.0,3419.0,1.1e-08,Hz,,missing,99.0,1.0,1.0,1.0,BBH,,,,,no_reference_chirp_mass
S230820bq,"[34504, 34598]",2,4785.0,3317.0,6253.0,4.2e-08,Hz,,missing,96.0,1.0,1.0,4.0,BBH,,,,,no_reference_chirp_mass
S231113bb,"[35010, 35147, 35018]",3,4900.0,3258.0,6542.0,5.6e-08,Hz,,missing,96.0,1.0,1.0,4.0,BBH,,,,,no_reference_chirp_mass
S231119u,"[35125, 35146, 35120]",3,6597.0,4041.0,9153.0,7.4e-08,Hz,,missing,95.0,0.0,0.0,5.0,BBH,,,,,no_reference_chirp_mass
S231102w,"[34960, 34931, 34927]",3,3493.0,2478.0,4508.0,5.8e-23,Hz,,missing,99.0,1.0,1.0,1.0,BBH,,,,,no_reference_chirp_mass
S230615an,[34003],1,47.0,,,,,,missing,,,,,,,,,,no_reference_chirp_mass;no_far
S230627c,"[34100, 34088, 34089, 34092, 34146, 34090, 34096, 34086, 34093, 34087, 34128, 34095, 34130, 34137]",14,278.0,210.0,346.0,3.2e-10,Hz,,missing,48.0,1.0,49.0,3.0,NSBH,,,,,no_reference_chirp_mass
S231129ac,"[35219, 35262, 35211]",3,3964.0,2451.0,5477.0,1.8e-08,Hz,,missing,99.0,1.0,1.0,1.0,BBH,,,,,no_reference_chirp_mass
S230611l,[33951],1,67.0,,,,,,missing,,,,,,,,,,no_reference_chirp_mass;no_far
S230528a,[33899],1,,,,,,,missing,,,,,,,,,,no_reference_chirp_mass;no_distance;no_far
S230618ae,[34013],1,68.0,,,,,,missing,,,,,,,,,,no_reference_chirp_mass;no_far
S230819ax,"[34494, 34499, 34627]",3,4872.0,3345.0,6399.0,8.8e-09,Hz,,missing,99.0,1.0,1.0,1.0,BBH,,,,,no_reference_chirp_mass
S231226av,"[35429, 35428]",2,1218.0,1047.0,1389.0,1.1e-50,Hz,,missing,99.0,1.0,1.0,1.0,BBH,,,,,no_reference_chirp_mass
S230615az,"[34020, 33972, 34039, 33979, 33974, 33981, 33986, 34061, 34066, 33985]",10,48.0,,,,,,missing,,,,,,,,,,no_reference_chirp_mass;no_far
S230731an,"[34308, 34304, 34306, 34303, 34310, 34307]",6,1001.0,759.0,1243.0,3.2e-10,Hz,,missing,81.0,0.0,18.0,1.0,BBH,,,,,no_reference_chirp_mass
S231118ab,"[35094, 35145]",2,4531.0,3033.0,6029.0,1.9e-08,Hz,,missing,99.0,1.0,1.0,1.0,BBH,,,,,no_reference_chirp_mass
S230619x,[34018],1,52.0,,,,,,missing,,,,,,,,,,no_reference_chirp_mass;no_far
